Date Time,Temperature,Basel Relative Humidity,Basel Wind Speed [10 m]
20090121T1300,6.3005285,70,2.6772869
20090121T1400,6.5505285,69,2.664
20090121T1500,6.4505286,69,2.4560866
20090121T1600,6.4005284,69,1.5533656
20090121T1700,6.3405285,69,2.1477854
20090121T1800,6.0905285,76,1.191377
20090121T1900,5.8105288,66,1.0656
20090121T2000,5.7705283,67,1.8648
20090121T2100,5.5005283,70,2.9784424
20090121T2200,4.7005286,73,3.7296
20090121T2300,4.3005285,73,4.0313635
20090122T0000,3.9005284,75,4.057684
20090122T0100,2.4305286,82,4.652476
20090122T0200,2.2105286,83,3.700947
20090122T0300,2.0305285,84,4.295571
20090122T0400,1.8905287,85,4.295571
20090122T0500,1.8205286,86,4.4097047
20090122T0600,-1.1894714,88,6.027944
20090122T0700,-1.3394713,87,6.2419515
20090122T0800,-1.6294713,89,6.675965
20090122T0900,-2.2694714,93,8.499788
20090122T1000,-2.0394714,94,9.827957
20090122T1100,-0.16947135,89,10.375929
20090122T1200,2.2705286,81,12.933438
20090122T1300,4.6705284,67,13.583788
20090122T1400,5.8505287,60,14.261733
20090122T1500,6.5705285,56,12.748291
20090122T1600,6.8305287,50,11.964296
20090122T1700,6.3705287,51,10.794953
20090122T1800,5.3505287,54,9.8568
20090122T1900,4.1205287,58,9.460013
20090122T2000,2.2405286,70,9.486234
20090122T2100,2.8205285,68,9.448753
20090122T2200,5.4605284,42,8.365129
20090122T2300,5.5705285,47,7.0078893
20090123T0000,6.0605288,55,7.237064
20090123T0100,5.6005287,67,10.345105
20090123T0200,5.5705285,70,8.677445
20090123T0300,5.5805287,69,8.855546
20090123T0400,5.8905287,71,10.210455
20090123T0500,6.1105285,70,11.830079
20090123T0600,5.040529,72,11.442802
20090123T0700,4.3205285,76,12.622413
20090123T0800,3.6605287,82,13.031836
20090123T0900,3.3805285,88,10.951599
20090123T1000,6.4105287,78,13.713779
20090123T1100,7.4705286,75,16.785313
20090123T1200,7.6705284,71,25.312206
20090123T1300,8.110529,71,33.53255
20090123T1400,10.180529,71,34.369728
20090123T1500,10.500529,75,32.119705
20090123T1600,10.130529,80,32.549892
20090123T1700,9.130529,77,29.71525
20090123T1800,8.440529,77,23.497627
20090123T1900,7.8305287,81,22.160892
20090123T2000,7.4105287,79,21.813915
20090123T2100,6.9405284,74,29.571604
20090123T2200,5.7305284,75,29.575201
20090123T2300,4.9605284,78,28.549578
20090124T0000,4.2505283,80,23.981918
20090124T0100,3.7405286,82,19.987104
20090124T0200,3.3505285,85,12.540622
20090124T0300,3.2505286,85,7.168091
20090124T0400,2.9705286,85,4.4656777
20090124T0500,2.9705286,85,2.742756
20090124T0600,1.1405287,95,8.062727
20090124T0700,1.0805286,94,6.791894
20090124T0800,1.8005286,89,10.722393
20090124T0900,1.7805287,89,10.252074
20090124T1000,2.2005286,89,8.528962
20090124T1100,3.0205286,87,7.539638
20090124T1200,3.9905286,83,9.197554
20090124T1300,5.4105287,72,11.8240795
20090124T1400,6.8905287,61,12.922459
20090124T1500,7.5705285,57,11.01299
20090124T1600,7.7805285,55,8.322602
20090124T1700,7.4605284,70,9.87119
20090124T1800,6.7305284,76,13.330651
20090124T1900,5.7005286,82,14.159354
20090124T2000,4.8605285,84,12.886714
20090124T2100,4.1905284,87,11.566177
20090124T2200,3.7005286,87,11.201478
20090124T2300,3.1805286,89,8.365129
20090125T0000,2.9805286,90,5.089565
20090125T0100,3.2105286,88,5.1243067
20090125T0200,3.0305285,86,8.00974
20090125T0300,2.5605285,86,7.0533133
20090125T0400,2.2305286,86,8.411661
20090125T0500,2.0605285,88,8.541434
20090125T0600,2.0505285,93,3.207881
20090125T0700,1.8305286,91,2.742756
20090125T0800,1.5805286,93,2.260479
20090125T0900,1.2505287,94,6.7394466
20090125T1000,1.0405287,94,10.144211
20090125T1100,2.3905284,87,13.615099
20090125T1200,3.8405285,74,17.143002
20090125T1300,4.3305287,76,16.328821
20090125T1400,4.8805285,78,13.957428
20090125T1500,5.7705283,72,11.476863
20090125T1600,6.3005285,68,10.0281105
20090125T1700,6.2305284,69,9.946393
20090125T1800,5.5105286,70,8.599398
20090125T1900,4.2105284,77,8.27128
20090125T2000,2.3205285,87,6.5308766
20090125T2100,1.0005287,95,5.1725526
20090125T2200,0.31052867,96,4.161301
20090125T2300,-0.20947134,96,4.976763
20090126T0000,-0.43947133,97,4.6600966
20090126T0100,-0.12947133,94,4.336678
20090126T0200,0.5205287,84,4.3692846
20090126T0300,0.5805287,80,3.8420756
20090126T0400,0.24052864,82,4.4097047
20090126T0500,-0.10947134,85,4.652476
20090126T0600,-0.6694713,98,3.5840454
20090126T0700,-0.8094713,98,3.207881
20090126T0800,-0.90947133,97,2.8318708
20090126T0900,-0.88947135,97,2.6372256
20090126T1000,0.59052867,89,2.4560866
20090126T1100,3.7805285,71,1.7057923
20090126T1200,6.8705287,62,0.84243083
20090126T1300,8.860529,59,1.3583788
20090126T1400,9.180529,62,2.1477854
20090126T1500,8.480529,64,3.1067312
20090126T1600,8.130529,65,3.5840454
20090126T1700,7.5605288,67,3.9603205
20090126T1800,6.9405284,72,3.6234317
20090126T1900,6.3105288,75,3.2189233
20090126T2000,5.8305287,79,3.0374272
20090126T2100,5.3705287,83,2.7812977
20090126T2200,5.0805287,85,2.6237357
20090126T2300,4.9505286,86,2.6237357
20090127T0000,4.7605286,88,2.382754
20090127T0100,4.6005287,89,2.028842
20090127T0200,4.3505287,91,1.6848617
20090127T0300,4.0605288,93,1.6204481
20090127T0400,3.7805285,94,1.332
20090127T0500,3.5505285,96,1.0656
20090127T0600,3.3805285,97,1.5984001
20090127T0700,3.2705286,96,1.5984001
20090127T0800,3.1405284,96,2.1312
20090127T0900,3.0605285,96,2.4123545
20090127T1000,3.1205285,94,2.7167575
20090127T1100,3.4205287,92,2.9424841
20090127T1200,3.8605285,90,3.2408962
20090127T1300,4.2105284,88,4.057684
20090127T1400,6.7205286,64,3.1067312
20090127T1500,6.4005284,65,3.6234317
20090127T1600,5.7105284,68,3.7862556
20090127T1700,4.6805286,72,3.767465
20090127T1800,3.9905286,78,3.4734309
20090127T1900,3.7405286,76,3.118132
20090127T2000,3.4405286,78,2.9424841
20090127T2100,3.0605285,82,2.7167575
20090127T2200,2.7405286,86,2.742756
20090127T2300,2.4905286,89,2.742756
20090128T0000,2.2605286,94,2.6237357
20090128T0100,2.1305285,93,2.6237357
20090128T0200,1.7905287,91,2.6237357
20090128T0300,1.4405286,90,2.742756
20090128T0400,1.1305287,92,2.5132127
20090128T0500,0.86052865,94,2.1477854
20090128T0600,-2.8494716,97,2.8318708
20090128T0700,-3.3894715,96,2.9304
20090128T0800,-3.1194715,96,2.4560866
20090128T0900,-3.2194715,96,2.028842
20090128T1000,-2.4794714,94,2.028842
20090128T1100,-1.2194713,76,1.8837326
20090128T1200,-0.6694713,76,3.7296
20090128T1300,0.67052865,73,4.802594
20090128T1400,2.1105285,69,5.5943995
20090128T1500,3.1805286,66,5.328
20090128T1600,3.9005284,67,3.767465
20090128T1700,3.9405286,68,4.1442113
20090128T1800,3.9605286,78,5.2339296
20090128T1900,3.2605286,70,6.1272
20090128T2000,1.2905287,84,7.430602
